,precision,recall,f1-score,support
0,0.8990714803702703,0.4151145308796786,0.567982968326117,152317.0
1,0.7398267614436157,0.9727448661434255,0.8404468139458503,260428.0
accuracy,0.7669602296817648,0.7669602296817648,0.7669602296817648,0.7669602296817648
macro avg,0.819449120906943,0.6939296985115521,0.7042148911359837,412745.0
weighted avg,0.798593500841431,0.7669602296817648,0.7398983504314264,412745.0
