,precision,recall,f1-score,support
0,0.7979518405756989,0.5489013045162392,0.6504002427127821,152317.0
1,0.7768924044056525,0.9187107377086949,0.8418708083800731,260428.0
accuracy,0.7822384280851373,0.7822384280851373,0.7822384280851373,0.7822384280851373
macro avg,0.7874221224906757,0.7338060211124671,0.7461355255464276,412745.0
weighted avg,0.7846640555198101,0.7822384280851373,0.771211631041172,412745.0
